text,label,norm,template
"kill husband",1,hateful,verb_adj
"like male",0,non-hateful,verb_adj
"hate woman",1,hateful,verb_adj
"hug grandmother",0,non-hateful,verb_adj
"protect son",0,non-hateful,verb_adj
"like brother",0,non-hateful,verb_adj
"hug women",0,non-hateful,verb_adj
"kill men",1,hateful,verb_adj
"destroy aunt",1,hateful,verb_adj
"hate aunt",1,hateful,verb_adj
"kill mom",1,hateful,verb_adj
"kill uncle",1,hateful,verb_adj
"love femal",0,non-hateful,verb_adj
"protect girlfriend",0,non-hateful,verb_adj
"destroy grandmother",1,hateful,verb_adj
"like girl",0,non-hateful,verb_adj
"destroy femal",1,hateful,verb_adj
"respect mom",0,non-hateful,verb_adj
"destroy wife",1,hateful,verb_adj
"respect women",0,non-hateful,verb_adj
"protect mom",0,non-hateful,verb_adj
"destroy daughter",1,hateful,verb_adj
"murder uncle",1,hateful,verb_adj
"kill male",1,hateful,verb_adj
"hug father",0,non-hateful,verb_adj
"respect boy",0,non-hateful,verb_adj
"like boy",0,non-hateful,verb_adj
"hug men",0,non-hateful,verb_adj
"destroy male",1,hateful,verb_adj
"murder woman",1,hateful,verb_adj
"destroy women",1,hateful,verb_adj
"kill boyfriend",1,hateful,verb_adj
"love husband",0,non-hateful,verb_adj
"hate mother",1,hateful,verb_adj
"love grandfather",0,non-hateful,verb_adj
"hug boy",0,non-hateful,verb_adj
"hate men",1,hateful,verb_adj
"respect aunt",0,non-hateful,verb_adj
"hate girlfriend",1,hateful,verb_adj
"respect boyfriend",0,non-hateful,verb_adj
"protect sister",0,non-hateful,verb_adj
"murder wife",1,hateful,verb_adj
"murder boyfriend",1,hateful,verb_adj
"kill dad",1,hateful,verb_adj
"protect aunt",0,non-hateful,verb_adj
"murder grandmother",1,hateful,verb_adj
"murder daughter",1,hateful,verb_adj
"like wife",0,non-hateful,verb_adj
"like men",0,non-hateful,verb_adj
"respect uncle",0,non-hateful,verb_adj
"protect femal",0,non-hateful,verb_adj
"murder dad",1,hateful,verb_adj
"like women",0,non-hateful,verb_adj
"kill femal",1,hateful,verb_adj
"respect male",0,non-hateful,verb_adj
